id,schedule,list,sl_no,item,treatment,aliases,page
NP-AI-LI-001,annexure_i,I,1,BABY FOOD,optional_item,,26
NP-AI-LI-002,annexure_i,I,2,BABY UTILITIES CHARGES,optional_item,,26
NP-AI-LI-003,annexure_i,I,3,BEAUTY SERVICES,optional_item,,26
NP-AI-LI-004,annexure_i,I,4,BELTS/ BRACES,optional_item,,26
NP-AI-LI-005,annexure_i,I,5,BUDS,optional_item,,26
NP-AI-LI-006,annexure_i,I,6,COLD PACK/HOT PACK,optional_item,,26
NP-AI-LI-007,annexure_i,I,7,CARRY BAGS,optional_item,,26
NP-AI-LI-008,annexure_i,I,8,EMAIL / INTERNET CHARGES,optional_item,,26
NP-AI-LI-009,annexure_i,I,9,FOOD CHARGES (OTHER THAN PATIENT's DIET PROVIDED BY HOSPITAL),optional_item,attendant food|visitor food|canteen|cafeteria,26
NP-AI-LI-010,annexure_i,I,10,LEGGINGS,optional_item,,26
NP-AI-LI-011,annexure_i,I,11,LAUNDRY CHARGES,optional_item,laundry|linen charges,26
NP-AI-LI-012,annexure_i,I,12,MINERAL WATER,optional_item,water bottle|packaged drinking water,26
NP-AI-LI-013,annexure_i,I,13,SANITARY PAD,optional_item,sanitary napkin|maternity pad,26
NP-AI-LI-014,annexure_i,I,14,TELEPHONE CHARGES,optional_item,telephone|phone charges,26
NP-AI-LI-015,annexure_i,I,15,GUEST SERVICES,optional_item,,26
NP-AI-LI-016,annexure_i,I,16,CREPE BANDAGE,optional_item,crepe|elastic bandage,26
NP-AI-LI-017,annexure_i,I,17,DIAPER OF ANY TYPE,optional_item,diaper|adult diaper|diapers,26
NP-AI-LI-018,annexure_i,I,18,EYELET COLLAR,optional_item,,26
NP-AI-LI-019,annexure_i,I,19,SLINGS,optional_item,,26
NP-AI-LI-020,annexure_i,I,20,BLOOD GROUPING AND CROSS MATCHING OF DONORS SAMPLES,optional_item,,26
NP-AI-LI-021,annexure_i,I,21,SERVICE CHARGES WHERE NURSING CHARGE ALSO CHARGED,optional_item,,26
NP-AI-LI-022,annexure_i,I,22,Television Charges,optional_item,tv charges|television,26
NP-AI-LI-023,annexure_i,I,23,SURCHARGES,optional_item,,26
NP-AI-LI-024,annexure_i,I,24,ATTENDANT CHARGES,optional_item,attendant|attendant bed|companion charges,26
NP-AI-LI-025,annexure_i,I,25,EXTRA DIET OF PATIENT (OTHER THAN THAT WHICH FORMS PART OF BED CHARGE),optional_item,,26
NP-AI-LI-026,annexure_i,I,26,BIRTH CERTIFICATE,optional_item,,27
NP-AI-LI-027,annexure_i,I,27,CERTIFICATE CHARGES,optional_item,fitness certificate,27
NP-AI-LI-028,annexure_i,I,28,COURIER CHARGES,optional_item,,27
NP-AI-LI-029,annexure_i,I,29,CONVEYANCE CHARGES,optional_item,,27
NP-AI-LI-030,annexure_i,I,30,MEDICAL CERTIFICATE,optional_item,,27
NP-AI-LI-031,annexure_i,I,31,MEDICAL RECORDS,optional_item,medical record charges|mrd charges|case sheet copy,27
NP-AI-LI-032,annexure_i,I,32,PHOTOCOPIES CHARGES,optional_item,photocopy|xerox,27
NP-AI-LI-033,annexure_i,I,33,MORTUARY CHARGES,optional_item,,27
NP-AI-LI-034,annexure_i,I,34,WALKING AIDS CHARGES,optional_item,walker|walking stick|crutches,27
NP-AI-LI-035,annexure_i,I,35,OXYGEN CYLINDER (FOR USAGE OUTSIDE THE HOSPITAL),optional_item,,27
NP-AI-LI-036,annexure_i,I,36,SPACER,optional_item,,27
NP-AI-LI-037,annexure_i,I,37,SPIROMETRE,optional_item,,27
NP-AI-LI-038,annexure_i,I,38,NEBULIZER KIT,optional_item,nebuliser kit|nebulizer mask|neb kit,27
NP-AI-LI-039,annexure_i,I,39,STEAM INHALER,optional_item,,27
NP-AI-LI-040,annexure_i,I,40,ARMSLING,optional_item,,27
NP-AI-LI-041,annexure_i,I,41,THERMOMETER,optional_item,digital thermometer,27
NP-AI-LI-042,annexure_i,I,42,CERVICAL COLLAR,optional_item,,27
NP-AI-LI-043,annexure_i,I,43,SPLINT,optional_item,,27
NP-AI-LI-044,annexure_i,I,44,DIABETIC FOOT WEAR,optional_item,,27
NP-AI-LI-045,annexure_i,I,45,KNEE BRACES (LONG/ SHORT/ HINGED),optional_item,,27
NP-AI-LI-046,annexure_i,I,46,KNEE IMMOBILIZER/SHOULDER IMMOBILIZER,optional_item,,27
NP-AI-LI-047,annexure_i,I,47,LUMBO SACRAL BELT,optional_item,,27
